city,name,description,duration,rating,reviews,price,link,image_url
New York,Full-day Guided City Sightseeing Tour,A private experience taking in the attractions in New York,,4.7,4.7,CAD 134.42,/attractions/us/prh7fyw9s3rg-full-day-guided-city-sightseeing-tour.en-gb.html?source=searchresults-product-card&ufi=20088325,https://r-xx.bstatic.com/xdata/images/xphoto/300x320/130071215.jpg?k=85655c8292a988deaf6978a50f80ea78cd95d29d87ff3b4785d76c4d228a328d&o=
New York,Washington DC Day Trip from New York,A full-day trip to the capital to explore important monuments and memorials,,4.5,4.5,CAD 243.04,/attractions/us/prd3wkq7uoab-washington-dc-day-trip-from-new-york.en-gb.html?source=searchresults-product-card&ufi=20088325,https://q-xx.bstatic.com/xdata/images/xphoto/300x320/134545740.jpg?k=aea63fa730dd8a7cb6acadf84e5f532456cd481f83d775b615f754704a9701e2&o=
New York,NY 60 min Statue of Liberty Sightseeing Cruise,See the Statue of Liberty from the water and enjoy a comfortable alternative to crowded ferry tra...,,3.4,3.4,CAD 27.14,/attractions/us/prjwtywwb20n-ny-60-min-sightseeing-to-view-the-statue-of-liberty.en-gb.html?source=searchresults-product-card&ufi=20088325,https://r-xx.bstatic.com/xdata/images/xphoto/300x320/272470935.jpg?k=040169ff1a24ed5340dcc781e6fe51075458281fc8d6ef1404ee845b109f012f&o=
New York,Woodbury Common Premium Outlets Tour,A tour with transportation from Manhattan for a day of shopping,,4.4,4.4,CAD 61.10,/attractions/us/praph2dn359b-woodbury-common-premium-outlets-tour.en-gb.html?source=searchresults-product-card&ufi=20088325,https://q-xx.bstatic.com/xdata/images/xphoto/300x320/131516978.jpg?k=fb2f87a5cc705326bfb8420980d96098cf95eea6b61539af3b93fcee06b24266&o=
New York,Museum of Modern Art Ticket,"Admission to the iconic New York institution with an audio guide, special exhibitions and more",,4.2,4.2,CAD 40.73,/attractions/us/pr40g3ytqthz-museum-of-modern-art-ticket.en-gb.html?source=searchresults-product-card&ufi=20088325,https://r-xx.bstatic.com/xdata/images/xphoto/300x320/234239914.jpg?k=b566bbe3787fe21c2ce1df911a77f497ecd1bc5793ab2bad513f86d3b91eec7a&o=
New York,Statue of Liberty & Ellis Island,"Visit two of New York’s most iconic locations, with round-trip ferry rides from Manhattan",,4.6,4.6,CAD 50.78,/attractions/us/prqm6iv3apuw-statue-of-liberty-ellis-island.en-gb.html?source=searchresults-product-card&ufi=20088325,https://q-xx.bstatic.com/xdata/images/xphoto/300x320/130156922.jpg?k=3395be35a82895c93583ebda70f926f47bd0c141434e64293f99a74c02a1cf11&o=
New York,Moulin Rouge! Musical Admission,A ticket providing admission to a performance of Moulin Rouge! on Broadway,,4.7,4.7,CAD 83.43,/attractions/us/pr7nagd6zl2a-moulin-rouge-musical-admission.en-gb.html?source=searchresults-product-card&ufi=20088325,https://r-xx.bstatic.com/xdata/images/xphoto/300x320/212689609.jpg?k=66f68b09af6928344f4c9414f1dd8a8322735f05dd2d1f3c63632c2dff67e956&o=
New York,Brooklyn Nets Basketball Game Ticket at Barclays Center,Seeing the Brooklyn Nets play a basketball game at Barclays Center is an experience like no other...,,,,CAD 42.46,/attractions/us/pry5ptmivrlx-brooklyn-nets-basketball-game-ticket-at-barclays-center.en-gb.html?source=searchresults-product-card&ufi=20088325,https://r-xx.bstatic.com/xdata/images/xphoto/300x320/259479357.jpg?k=3d335ba1019f599e368665bcb1a2d3524e859aea11762adf7d7791eb55da28d4&o=
New York,New York Self-guided Audio Tour,An app-based tour to explore New York's highlights at your own pace,,3.3,3.3,CAD 7.29,/attractions/us/prgjnlbdylsu-new-york-self-guided-audio-tour.en-gb.html?source=searchresults-product-card&ufi=20088325,https://r-xx.bstatic.com/xdata/images/xphoto/300x320/311780549.jpg?k=b21f8fc8d82794dd8ddcbf179d06d2c7ac7c8cbb91aa47bf3fca276e8b5d6f82&o=
New York,75-Minutes NYC Sightseeing Night Double Decker Bus Tour,"New York is one of the most thrilling and dynamic cities in the world, our tour cruises you aroun...",,1.6,1.6,CAD 61.10,/attractions/us/prfqcmwabaq2-75-minutes-nyc-sightseeing-night-double-decker-bus-tour.en-gb.html?source=searchresults-product-card&ufi=20088325,https://q-xx.bstatic.com/xdata/images/xphoto/300x320/172736961.jpg?k=940c2c3015a5b2d932a07951e5d9434b7b9c15ee5376ac534892c3e3b8842ded&o=
New York,Walking tour in Manhattan Brooklyn Bridge and Waterfront,"This tour is delivered in English. Enjoy a 3-hour, 3-mile stroll with a 30-year resident of Brook...",,4.8,4.8,CAD 27.15,/attractions/us/pr7ovtawzjn5-walking-tour-in-manhattan-brooklyn-bridge-and-waterfront.en-gb.html?source=searchresults-product-card&ufi=20088325,https://r-xx.bstatic.com/xdata/images/xphoto/300x320/286131433.jpg?k=ffb3ee2701850943949b57096df01a3578b82ad34337ddc9207b44b991bb84bc&o=
New York,Central Park Bike Tour,A self-guided tour to explore Central Park by bike,,3.6,3.6,CAD 20.69,/attractions/us/preelxuuhsro-central-park-bike-tour.en-gb.html?source=searchresults-product-card&ufi=20088325,https://q-xx.bstatic.com/xdata/images/xphoto/300x320/285036978.jpg?k=fb363d14a112c03b5b254faf2d28ef92530ceca08d4cab532d3032a91a722cca&o=
New York,Guided City Helicopter Tour,Discovery of most of the landmarks in New York City from the air,Duration: 20 minutes,,,CAD 378.81,/attractions/us/prelsidbvvz4-guided-city-helicopter-tour.en-gb.html?source=searchresults-product-card&ufi=20088325,https://q-xx.bstatic.com/xdata/images/xphoto/300x320/320125218.jpg?k=aa8c4a3046e814bceabd8ea2f12d9e4d24f169cf4ac4028695961620361fcc2b&o=
New York,Aladdin Musical Admission,A ticket providing admission to a theatre performance of Disney's Aladdin on Broadway,,4.5,4.5,CAD 123.96,/attractions/us/prc46rxdg6bn-aladdin-musical-admission.en-gb.html?source=searchresults-product-card&ufi=20088325,https://r-xx.bstatic.com/xdata/images/xphoto/300x320/248688459.jpg?k=13c9434f383b89e808511908f63846ac92dcabc35d85dff74b28cdbb06076400&o=
New York,Luggage Storage,A convenient and secure storage service to enable you to explore New York hassle-free,,,,CAD 9.50,/attractions/us/prll2ytsasop-luggage-storage.en-gb.html?source=searchresults-product-card&ufi=20088325,https://q-xx.bstatic.com/xdata/images/xphoto/300x320/316342098.jpg?k=7603fb1fda637c7351c111cc4e4f17e4b8042c69fd66e1afdca4d6993fb2f464&o=
New York,General Admission to Edge Observation Deck,A ticket to visit the outdoor observation deck overlooking the New York skyline,,4,4,CAD 65.05,/attractions/us/prmeqzhfb5bz-general-admission-to-edge-observation-deck.en-gb.html?source=searchresults-product-card&ufi=20088325,https://r-xx.bstatic.com/xdata/images/xphoto/300x320/130076945.jpg?k=e7c459b9b78df41676a2079e9cb0afd72fde3da20d98d08691b16753a7511b53&o=
New York,9/11 Tribute Museum and Memorial,Admission to a museum commemorating the 2001 terror attacks and examining their background,,4.4,4.4,CAD 44.80,/attractions/us/prc8esiv2nv8-911-tribute-museum-and-memorial.en-gb.html?source=searchresults-product-card&ufi=20088325,https://q-xx.bstatic.com/xdata/images/xphoto/300x320/174423810.jpg?k=d11cfc955ea191c2403dabe053f966981656c44f0b095005364216daf08df399&o=
New York,Circle Line Statue of Liberty Cruise,One-hour harbour cruise with prime views of the iconic monument and New York skyline,,4.6,4.6,CAD 43.45,/attractions/us/prfnn9jwfzce-circle-line-statue-of-liberty-cruise.en-gb.html?source=searchresults-product-card&ufi=20088325,https://r-xx.bstatic.com/xdata/images/xphoto/300x320/131487409.jpg?k=6bdf7140989bfa55a904b849b67ff0901b3ae60683e8ff90b050b3cdc23c48d4&o=
New York,Central Park Private Carriage Ride,A ticket to explore Central Park's landmarks while riding in a horse-drawn carriage,,4.1,4.1,CAD 190.07,/attractions/us/przges6q6ykf-central-park-private-carriage-ride.en-gb.html?source=searchresults-product-card&ufi=20088325,https://q-xx.bstatic.com/xdata/images/xphoto/300x320/150695647.jpg?k=2c36e40367715749053f7e88ea6f1fdfd9632e6e3cf3f7f16dd74b83610823f3&o=
New York,"New York Hop-on, Hop-off Open-top Bus Tour",A tour to explore the city's highlights at your own pace,,3.4,3.4,CAD 78.75,/attractions/us/prbjofu3ypsy-new-york-hop-on-hop-off-open-top-bus-tour.en-gb.html?source=searchresults-product-card&ufi=20088325,https://q-xx.bstatic.com/xdata/images/xphoto/300x320/130074329.jpg?k=1be68edcbff1b3a92a1524844ebabb0ab5ddbdf746a7b05cd9cb9a03cfa2e386&o=
New York,Admission to the Top of the Rock Observation Deck,A ticket to explore the Rockefeller Centre observation deck and enjoy views of New York,,4.1,4.1,CAD 59.13,/attractions/us/prifkfhnbcku-admission-to-the-top-of-the-rock-observation-deck.en-gb.html?source=searchresults-product-card&ufi=20088325,https://r-xx.bstatic.com/xdata/images/xphoto/300x320/130093404.jpg?k=af9f609ebdb7e39228c9350d21241ab8b890a50925a812a6ad948204840a2a09&o=
New York,Statue of Liberty and Ellis Island Tour,A round-trip ferry ride tour to explore two prominent attractions in New York,,4.7,4.7,CAD 74.66,/attractions/us/pr8fn9acpdjs-statue-of-liberty-and-ellis-island-tour.en-gb.html?source=searchresults-product-card&ufi=20088325,https://q-xx.bstatic.com/xdata/images/xphoto/300x320/130080021.jpg?k=d6e066b644726bedc2ce833371e98a3f4ac4e5eeed9382616801497dae0194c4&o=
New York,30-minute Speedboat Ride,A speedboat ride that zooms across the Hudson River toward the Statue of Liberty,Duration: 30 minutes,4.6,4.6,CAD 43.45,/attractions/us/prknzkgcw982-30-minute-speedboat-ride.en-gb.html?source=searchresults-product-card&ufi=20088325,https://r-xx.bstatic.com/xdata/images/xphoto/300x320/306359571.jpg?k=0f90ebb23dacc596c3367d49de36957c9efd66563d8f1e2af161af56a0a31e9b&o=
New York,New York Neighbourhoods Tour,"A guided tour including Brooklyn, the Bronx and Queens",,4.4,4.4,CAD 67.89,/attractions/us/pr0yjuby5u22-new-york-neighbourhoods-tour.en-gb.html?source=searchresults-product-card&ufi=20088325,https://r-xx.bstatic.com/xdata/images/xphoto/300x320/131774358.jpg?k=d272f715938907eae266107cc499f98d2b9364c0b61c66fd1acfd9c0e3eb668c&o=
New York,Harry Potter and the Cursed Child,Admission to the Broadway production of the award-winning show that debuted in London,,4.5,4.5,CAD 98.15,/attractions/us/prohwvkiazzz-harry-potter-and-the-cursed-child.en-gb.html?source=searchresults-product-card&ufi=20088325,https://r-xx.bstatic.com/xdata/images/xphoto/300x320/232759783.jpg?k=adea44ef1432e62ed6c5e9b51c4d02fd33d3e1aee059b8e0b9a397cfa6aeb472&o=
New York,"Bus Tour of Brooklyn, the Bronx and Queens","A guided bus tour to see the sights of Brooklyn, the Bronx and Queens",,4.7,4.7,CAD 96.54,/attractions/us/prsttdlkm9qk-bus-tour-of-brooklyn-the-bronx-and-queens.en-gb.html?source=searchresults-product-card&ufi=20088325,https://q-xx.bstatic.com/xdata/images/xphoto/300x320/134490912.jpg?k=2065cc91dff094f171207079c324d64a64c7eaf86d9e65c9be054313f085b732&o=
New York,All-Star Stand Up Show at Broadway Comedy Club,A fun night of stand-up comedy near Times Square,,3.9,3.9,CAD 33.94,/attractions/us/prpvvszmcmqc-all-star-stand-up-show-at-broadway-comedy-club.en-gb.html?source=searchresults-product-card&ufi=20088325,https://q-xx.bstatic.com/xdata/images/xphoto/300x320/130031512.jpg?k=eed34592944ba9e36fa545ae8c013104b71adfb811c16fc2ac81424057359dfe&o=
New York,Woodbury Common Round-trip Bus Transfer,Head to Woodbury Common from Manhattan for a shopping tour with VIP coupons included,Duration: 6 hours,4.6,4.6,CAD 61.10,/attractions/us/proyjlnvp1dn-woodbury-common-round-trip-bus-transfer.en-gb.html?source=searchresults-product-card&ufi=20088325,https://q-xx.bstatic.com/xdata/images/xphoto/300x320/311543521.jpg?k=33dca7ca01cdba72485c6e96463443461c8abbb968ea582b6ce7cba99bd83402&o=
New York,New Jersey SEA LIFE Aquarium,"A chance to have close encounters with more than 3,000 sea creatures",,,,CAD 45.28,/attractions/us/prfjnvgd2kkq-new-jersey-sea-life-aquarium.en-gb.html?source=searchresults-product-card&ufi=20088325,https://r-xx.bstatic.com/xdata/images/xphoto/300x320/146683381.jpg?k=18efed399690ab4fc3f539e0337d9b8269fb3aecb3ada7509b5bd7479deda0c0&o=
New York,Metropolitan Museum of Art Self-guided Audio Tour,"Masterpieces, sculptures, artefacts and more in the largest art museum in the United States",,2.6,2.6,CAD 29.24,/attractions/us/prnq81k5xqf1-metropolitan-museum-of-art-self-guided-tour.en-gb.html?source=searchresults-product-card&ufi=20088325,https://r-xx.bstatic.com/xdata/images/xphoto/300x320/313540226.jpg?k=04400e3b2db52f4afed41ac044fb034660a11ecc2c84cd03ea3e927baf5bd04f&o=
New York,Guided Sightseeing Cruise,A guided boat tour passing several of New York City's best sights,Duration: 2 hours 30 minutes,4.6,4.6,CAD 70.60,/attractions/us/prwxm6qrje4s-guided-sightseeing-cruise.en-gb.html?source=searchresults-product-card&ufi=20088325,https://r-xx.bstatic.com/xdata/images/xphoto/300x320/313154660.jpg?k=e650227bbc8dca531c93f54921eb3f5416b2903ead7fc4e9791508d10e4ece74&o=
New York,RiseNY - A Soaring Journey Through New York,"RiseNY allows you to experience the best of NYC in 90 minutes or less! Soar over all 5 boroughs, ...",,4.6,4.6,CAD 65.04,/attractions/us/prn2oq2kzw5t-riseny-a-soaring-journey-through-new-york.en-gb.html?source=searchresults-product-card&ufi=20088325,https://q-xx.bstatic.com/xdata/images/xphoto/300x320/160527752.jpg?k=23649aa9549194d7bb81e00163cb4dbe1c5b9b45732cde8a764517550986fadf&o=
New York,Statue of Liberty 60-Minute Sightseeing Cruise - Flexible Departure,The only Statue of Liberty Cruise with a flexible departure on YOUR time. Choose from 4 daily dep...,,,,CAD 47.52,/attractions/us/prttrxerwvbg-statue-of-liberty-60-minute-sightseeing-cruise-flexible-departure.en-gb.html?source=searchresults-product-card&ufi=20088325,https://q-xx.bstatic.com/xdata/images/xphoto/300x320/180913440.jpg?k=8005edbdc8548f731bf26df5d84e966ac7e0d428924ccdba7f824c6f07181f24&o=
New York,Boston Day Trip from New York,"Boston, in addition to being the largest city in the state of Massachusetts and its capital, is o...",,,,CAD 161.57,/attractions/us/prxhysvgzin8-boston-day-trip-from-new-york.en-gb.html?source=searchresults-product-card&ufi=20088325,https://r-xx.bstatic.com/xdata/images/xphoto/300x320/115816390.jpg?k=b9424382e39305feb34e9992193a4b49f69bf8d469a4c1c426ea2fb102f79075&o=
New York,NYC: Statue of Liberty Night Cruise and Skyline,The NYC skyline and Statue of Liberty night cruise is unique because it offers a stunning and rom...,,3.4,3.4,CAD 54.30,/attractions/us/pr6tir1r6d1n-nyc-statue-of-liberty-night-cruise-and-skyline.en-gb.html?source=searchresults-product-card&ufi=20088325,https://r-xx.bstatic.com/xdata/images/xphoto/300x320/217814687.jpg?k=4089409018bbaf521e41d846d4c30c0a03d50e20afafdc418518c2e7071a7787&o=
New York,Alive After Five Cocktail Cruise,Sip on cocktails while gliding along the Hudson River at sunset,Duration: 2 hours,,,CAD 79.08,/attractions/us/prdt0jkbqnf4-alive-after-five-cocktail-cruise.en-gb.html?source=searchresults-product-card&ufi=20088325,https://r-xx.bstatic.com/xdata/images/xphoto/300x320/318150730.jpg?k=dfbabc1cd3e066d13b422edcaa07c0c0e19dcb4ff0286ce55c1bf63d9e28a65c&o=
New York,Museum of Ice Cream Ticket,"Admission to a unique museum celebrating ice cream, where every exhibit is interactive",,4.2,4.2,CAD 71.30,/attractions/us/prxm5dq7t9vs-museum-of-ice-cream-ticket.en-gb.html?source=searchresults-product-card&ufi=20088325,https://r-xx.bstatic.com/xdata/images/xphoto/300x320/159441882.jpg?k=a576a9d5883ca849a63c7d4565428130c8c9dee50f575ea430970605988e11d0&o=
New York,Statue of Liberty and Ellis Island Sunset Cruise,A cruise to see famous attractions in and around New York Harbour,Duration: 60 minutes,5,5,CAD 48.24,/attractions/us/pr935xbjfiri-statue-of-liberty-and-ellis-island-sunset-cruise.en-gb.html?source=searchresults-product-card&ufi=20088325,https://q-xx.bstatic.com/xdata/images/xphoto/300x320/311762404.jpg?k=6a88244b94183722cc4183cc15564e64cb46666502707f1b883200fb7f98d6de&o=
New York,The Museum of Modern Art Admission,A ticket to explore the art museum and see some of the most popular artworks,,4.7,4.7,CAD 40.73,/attractions/us/prztshidqvnn-the-museum-of-modern-art-admission.en-gb.html?source=searchresults-product-card&ufi=20088325,https://r-xx.bstatic.com/xdata/images/xphoto/300x320/278981716.jpg?k=e80b6fb48808b75aad107584995e1873421c297e506c19c418dc9ceadecee365&o=
New York,New York Landmarks Cruise,A 90-minute cruise with an onboard guide,Duration: 1 hour 30 minutes,4.9,4.9,CAD 55.67,/attractions/us/prelyqoqyvva-new-york-landmarks-cruise.en-gb.html?source=searchresults-product-card&ufi=20088325,https://r-xx.bstatic.com/xdata/images/xphoto/300x320/210855774.jpg?k=851f81b73e46d4ca4e9ddffc1127b8e648b75e8cea118e8a91e0da5fea4808d5&o=
New York,Wicked Broadway Show Ticket,A chance to watch a performance of the award-winning musical 'Wicked',,,,CAD 196.32,/attractions/us/prvlw0ln7hqs-wicked-broadway-show-ticket.en-gb.html?source=searchresults-product-card&ufi=20088325,https://q-xx.bstatic.com/xdata/images/xphoto/300x320/288032712.jpg?k=ca0e46d349b0c9387b9a5dc1341abc5cb8ac5a22c51f9c5116f72331740203bb&o=
